Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Bhimkund Waterfall,OD_Mayurbhanj_BhimkundWaterfall,Odisha,Mayurbhanj,Mayurbhanj,21.5523,86.0168,Waterbodies,A stunning spectacular natural environment encircled with lush green forest,The lush green natural environment imparts a spectacular effect on this waterfall. Bhimkund has an unmatched spectacular appeal.The majestic Baitarani river provides two most beautiful and scary Waterbodies called Sanakunda & Badakunda to the natural lovers. The waterfall has a large vertical shaped gorge & speeding current and makes the environment smokey. Further huge roaring sound of waterfall makes the place most interesting among tourists. ,This Waterbodies is considered as a most sacred place in religious point of view. Local people gather here during annual celebration of Makar Sankranti in large numbers. :Mythology is that Pandavas were staying some time here during their religious expedition,https://i.imgur.com/mxXsRQL.jpg,https://i.imgur.com/DL2QCt1.jpg https://i.imgur.com/esmYjUY.jpg https://i.imgur.com/f4m851c.jpg https://i.imgur.com/IDDckkK.jpg https://i.imgur.com/ViG8jhM.jpg
Satiguda Dam,OD_Malkangiri_SatigudaDam,Odisha,Malkangiri,Malkangiri,18.3812,81.9371,Dams & Water Reservoirs,"Surrounded by a large number of small hills, this place is considered to be the most favorite picnic spot of the people","The Reservoir provides irrigation facility to the near by cultivable land throughout the year. The natural beauty of the Dam can be enjoyed in the early morning and evening hours. Boating facility is also available inside the Reservoir, which attracts visitors as well as the local people. Lord Shiva is being worshiped inside a cave near the Dam. Being surrounded by a large number of small hills this place is considered to be the most favourite picnic spot of the people.",Satiguda Dam is a large manmade lake located in Malkangiri Forest Range and is considered to be one of the largest lakes in southern areas of Odisha and Chhattisgarh states.,https://i.imgur.com/I5mVHFg.jpg,https://i.imgur.com/GwC5mCI.jpg https://i.imgur.com/yNf5zIc.jpg https://i.imgur.com/V7wAm82.jpg https://i.imgur.com/DQB9ZTC.jpg https://i.imgur.com/ATttrsx.jpg
Bhairavi Temple,OD_Malkangiri_BhairaviTemple,Odisha,Malkangiri,Malkangiri,18.3436,81.8825,Religious Sites,Bhairavi Temple is a hill shrine dedicated to Goddess Kali,A famous Shiva Linga is found in the near by “Goi Hill” of Malkangiri Town. During the “Maha Shivaratri Festival” a large religious crowd is being gathered at this hill temple of Lord Shiva. Local people have put efforts in making a safe passage to the hill for the pilgrims. The height of the Shiva Linga is more that 6 feet.It has been observed that this Shiva Linga is gradually rising up.,The deity is believed to be worshiped by the King of Malkangiri whose castle s remnants are still found on the Raja Rani Hill just infront of Bhairavi temple.,https://i.imgur.com/tLurQKL.jpg,https://i.imgur.com/XAv8FBZ.jpg https://i.imgur.com/eWnG02V.jpg https://i.imgur.com/5VWcWeN.jpg
Balimela Dam,OD_Malkangiri_BalimelaDam,Odisha,Malkangiri,Balimela,18.1398,82.1221,Dams & Water Reservoirs,A eye catching view with lush green environment,"The total inflow into the reservoir is shared equally by the two Governments. The share of the Andhara Pradesh Government is flow downstream the river while that of Onssa Government is diverted to a high head power some 15 kms. south of Balimela. It is estimated that the power-house is generating 240,000 KW at 60% load factor. The tail water is subsequently utilised for irrigation about 2.4 lakh acres of land in Malkangiri and Motu plains.","A barrage at Surlikonda across the Potteru stream was constructed to redirect the discharge from Balimela Power House into two main canals for irrigation; one on the right side named Tamasha Main Canal and the second on the left side named Gompakonda Main Canal. :These two canals were constructed under the Potteru Irrigation Project for irrigation in Malkangiri district, the most backward district of the state and thereby lifting the living standard of the inhabitants. Two more power generation units 75 MW each were added under stage-2 to increase the installed capacity up to 510 MW.",https://i.imgur.com/EI2dEXy.jpg,https://i.imgur.com/i8rdQrz.jpg https://i.imgur.com/3yrIAqA.jpg
Tribal Museum ,OD_Koraput_TribalMuseum,Odisha,Koraput,Koraput,18.8093,82.7076,Education & History,"A collections of mines, costumes hand woven clothes, musical instruments, caters to and educates the tourists about the culture and heritage of the tribals","This historical center gives expansive view into the life and culture of the different clans who have/are inhabitating Koraput and close by territories. The historical center has great assortment of ancient rarities identified with the clans of Koraput. Weapons/instruments utilized by the innate individuals, attire, adornments, utensils and so forth are in plain view. You get the chance to gain proficiency with a ton about the way of life of the clans and furthermore about ancestral workmanship by visiting this spot.",The historical museum was founded in 1992.,https://i.imgur.com/hoHiR3n.jpg,https://i.imgur.com/4kzO4pI.jpg https://i.imgur.com/XpIqigR.jpg https://i.imgur.com/nfqbdoB.jpg https://i.imgur.com/M5RYG8j.jpg
Sabar Shreekhetra Temple,OD_Koraput_SabarShreekhetraTemple,Odisha,Koraput,Koraput,18.8108,82.7091,Religious Sites,An ancient holy Jagannath Temple in the midst of hills,"Out of the few Jagannath sanctuaries in Orissa, Koraput Sabara Srikhetra Jagannath Temple is an old Jagnanath sanctuary in a spot called Koraput in Odisha. It is a middle for revere just as an inside for Jagannath cognizance. The slope top on which the sanctuary stands is Sabara Srikhsetra. A well known ancestral celebration known as 'Parab', sorted out by UNICEF happens here as the sanctuary has some inborn birthplace. ","The sanctuary has got its name as 'Sabara Srikhetra' on the grounds that it had been worked by an inborn gathering called the Sabaras who stayed in Koraput, Orissa. It was constructed likely around the twelfth century in run of the mill old Indian design style. :The sanctuary is open for all.It preaches tolerance, love towards other religions and it is practiced too. The Lord Jagannath here is a symbol of unity and humanitarianism rather than Sectarianism. ",https://i.imgur.com/xGv2853.jpg,https://i.imgur.com/QQl6jIs.jpg https://i.imgur.com/4ywOIL9.jpg https://i.imgur.com/yYSgkeH.jpg https://i.imgur.com/sJvXOck.jpg
Machhkund(Duduma) Waterfall,OD_Koraput_Machhkund(Duduma)Waterfall,Odisha,Koraput,Koraput,18.5195,82.4512,Waterbodies,A Hydroelectric Project  located near Duduma Water Falls in Machhakunda River,"The Majestic cascade, Popularly known as matsya Tirtha of epic notoriety tumbles from a stature of 175 mtrs. It has two sub-cascades, one on the Odisha side and the other on the Andhra Pradesh side.Machhakund (Duduma) Hydroelectric Project is situated close Duduma Falls, is a rough outlet for the waterway Machhkund, which moves through this harsh Terrain.","The Maharaja of Jeypore considered the possibility of a dam in 1928. Despite the fact that the making arrangements for the venture began in 1930's, the real relocation started in the late 1940s. As the undertaking was begun before freedom no legitimate records for the dislodging and restoration are accessible. :Rock-climbing devotees can have a go at arriving at the base of the tumble from the contrary side of the slope, a course tribals guarantee can be Terribly Difficult.It is a communitarian venture between the Government of Andhra Pradesh and the Government of Odisha. The undertaking, comprising of 6 units, has an introduced limit of 120 MW.",https://i.imgur.com/wvlyvSZ.jpg,https://i.imgur.com/dWHJnwk.jpg https://i.imgur.com/XG9kCsK.jpg https://i.imgur.com/IaHhQbi.jpg https://i.imgur.com/K9pBr7D.jpg https://i.imgur.com/3a3BLcT.jpg
Kolab Reservoirs,OD_Koraput_KolabReservoirs,Odisha,Koraput,Jeypore,18.6183,82.6256,Dams & Water Reservoirs,"At an altitude of about 3000 ft. above sea level on river Kolab, stands the majestic Kolab Reservoir generating Hydro Electric Power","The glorious Kolab Reservoir producing Hydro Electric Power lies above ocean level on waterway Kolab,a tributary of Godvari stream. The Project has a Potential of creating 95 MW of firm force with an age of 832.2 million units and force is appropriated to the general matrix at the jeypore sub-station. Kolab Dam is distinguished as the most Beautiful normal picturesque fascination in Odisha. A Botanical nursery named Kolab Park worked close to the dam has around 200 assortments of Flowering plants.","A potential thought of ""An undertaking of Kolab dam"" were first come during the British Rule when Koraput region was a piece of Madras administration. After Independence, an examination was occurred by Govt. of Odisha in 1961.  :At long last the undertaking was affirmed by the arranging commission after a few recommendations of Govt. of Odisha in 1976 and the venture was finished in 1993.",https://i.imgur.com/fepc1Nt.jpg,https://i.imgur.com/fcI6iVs.jpg https://i.imgur.com/rGyz6Qn.jpg https://i.imgur.com/EnGHNEN.jpg
Jalaput Dam  ,OD_Koraput_JalaputDam,Odisha,Koraput,Jeypore,18.4592,82.5484,Dams & Water Reservoirs,A dam reservoir over Kolab river and an idealic place of picnic and pleasure trip,"The Jalaput Dam is a hydroelectric dam based on the Machkund River. Jalaput Dam (and Reservoir) seizes 34.273 Tmcft of water for the necessities of down stream 120 MW Machkund Hydro-Electric Scheme (MHES), which is in activity since 1955. The current six number force age units have become old and out of date contrasted with most recent innovation. The power created here is provided to numerous close by towns including Visakhapatnam, Vijaywada in Andhra Pradesh and, Koraput and Jeypore in Odisha.","Before the current dam was manufactured 55 years back, it was a thick woods and a waterway encompassed by numerous inborn villages.The new dam was opened in 2000, Owned by Andhra Pradesh government.",https://i.imgur.com/nmCcUt7.jpg,https://i.imgur.com/sqce1Br.jpg https://i.imgur.com/ECCs8Mq.jpg https://i.imgur.com/v412ZUj.jpg https://i.imgur.com/CRueL56.jpg
Gupteswar Cave ,OD_Koraput_GupteswarCave,Odisha,Koraput,Jeypore,18.8235,82.1666,Hills & Caves,A holy and spiritual place Of Lord Shiva  with the temple inside a cave,"Gupteswar Cave is a limestone cavern, and its principle fascination is the colossal Shiva Linga in the cavern which is supposed to be expanding in size. Explorers from everywhere throughout the nation come here during the Sravana time frame, in light of the fact that the yearly Bol Bam yatra is held at this spot. Aficionados stroll to the Gupteshwar during Bol Bam yatra to shower in the maha kund, and afterward serenade close to the Shiva Linga. ","The holy place is designated ""Gupteswar"" which implies the ""Concealed God"". It is so named on the grounds that it was lying covered up in the cavern for an extremely extensive stretch. One can arrive at it by climbing the 200 stages flanked with columns of champak trees.With the progression of time, the sanctuary was deserted. :Later in the seventeenth century, the Shiva lingam was found by a tracker who at that point educated about it to Maharajah Veer Vikram Dev, the lord of the area who as of late moved his capital from Nandapur to the recently framed city of Jeypore. :Thus, the ruler began a custom of making a foot excursion to the cavern of Lord Gupteswar during the blessed month of Shraavana which goes till this day. Individuals experiencing serious illnesses come here to adore the God and stay here for quite a long time in the desire for getting relieved. :There are 200 stages to reach to the Shiva linga sanctuary. Its passageway is around 3 meters wide and 2 meters high.",https://i.imgur.com/xM7zzy5.jpg,https://i.imgur.com/r1gLft9.jpg https://i.imgur.com/u04MjvW.jpg https://i.imgur.com/ze6Y1tA.jpg https://i.imgur.com/7RRTc6K.jpg https://i.imgur.com/1jJ1Our.jpg https://i.imgur.com/3HWgbQB.jpg https://i.imgur.com/RUZ30ZZ.jpg
Gulmi Waterfall,OD_Koraput_GulmiWaterfall,Odisha,Koraput,Kotpad,18.9738,82.2621,Waterbodies,A less known and beautiful Waterfall in Koraput district,"Kolab stream framing a spin pool at Gulmi and drawing in huge crowed from the region just as from Chatisgarh state.Place is encircled by backwoods and hills.A tad dangerious ,yet a stupendous experience place safe house for crocodiles dam descending spots.",Sun can be seen only after 8 am and sun sets at 4 pm. Winter time natural reservoir. Terrific place for camping.,https://i.imgur.com/ZQhZsN6.jpg,https://i.imgur.com/3Fi0NXN.jpg https://i.imgur.com/ld6oPiZ.jpg https://i.imgur.com/GfNPAtF.jpg https://i.imgur.com/nRrTQ5b.jpg
Deomali Mountain,OD_Koraput_DeomaliMountain,Odisha,Koraput,Pottangi Panchayat,18.6748,82.9824,Hills & Caves,The highest mountain Peak of Odisha,"It Surrounded by dark green woods, the pinnacle is wealthy in verdure. This slope extend is plentiful in mineral assets, for example, bauxite, limestone and gemstones. Deomali is spotted with creeks and profound valleys, and possessed by clans such Kandhas, Parajas, Bhumia, Malis and Bhotias. It isn't just a wonder for the travelers yet additionally to the gutsy games darlings for hang skimming, mountaineering and trekking. ",The most elevated mountain Peak of Odisha Deomali 1762 mt. high settling in the lap of the Eastern Ghats is an idealic for Aero Gliding and trekking undertakings. ,https://i.imgur.com/9USg88f.jpg,https://i.imgur.com/THeveC1.jpg https://i.imgur.com/aNRjtc6.jpg https://i.imgur.com/v9o18MF.jpg
Shree Ram Mandir,OD_Khordha_ShreeRamMandir,Odisha,Khordha,Bhubaneswar,20.2774,85.843,Religious Sites,"The heart temple of the Temple city - housing Lord Rama, Lord Laxman & goddess Sita","Shri Ram Mandir is a sanctuary lodging delightful pictures of Lord Rama, Lord Lakshman, and Goddess Sita. The high rising tower of the primary sanctuary obvious from numerous pieces of the capital city, is its fundamental attraction.The complex likewise contains holy places dedicated to ochre-painted marble icons of Lord Hanuman, Lord Shiva and other gods.Almost each celebration of Hindus are commended around the year. The brilliant Aarathi during morning and night draws a great deal of lovers.",Shri Ram Navami is the most famous festival observed here.,https://i.imgur.com/yR11gwj.jpg,https://i.imgur.com/24C7CUB.jpg https://i.imgur.com/sjJjaZY.jpg https://i.imgur.com/8gCMKfW.jpg https://i.imgur.com/FdVHzud.jpg https://i.imgur.com/FafnedH.jpg https://i.imgur.com/6TQ2st6.jpg
Shanti Stupa Dhauli,OD_Khordha_ShantiStupaDhauli,Odisha,Khordha,Bhubaneswar,20.1923,85.8393,Religious Sites,Striking white peace pagoda & Buddhist Shrine constructed atop Dhauli Hill in 1972,"It is present beside Daya river which is said to be turned into red with the blood of  the deceased warriors in the Kalinga war, and later that helped King Ashoka to realize the tragic sequences of war.This oplace has precious Edicts of King Ashoka engraved over a huge rock by the roadside to the main place of the hill., Thats  On the top of the hill, a dazzling white peace pagoda has been built by the Japan Buddha Sangha and the Kalinga Nippon Buddha Sangha in the 1970s.","Dhauli hill is believed to be the area where the Kalinga War was faught between the Peole of Kalinga & The King Ashoka –The Great. :The only rever near this hill, Daya river which is said to be turned into red with the blood of  the deceased warriors in the Kalinga war. :The dazzling white peace pagoda has been built by the Japan Buddha Sangha and the Kalinga Nippon Buddha Sangha in the 1970s which now we  call as Dhauli Shanti Stupa.",https://i.imgur.com/WPulpmW.jpg ,https://i.imgur.com/a9xQt71.jpg https://i.imgur.com/flQzQ78.jpg https://i.imgur.com/sNbWgHt.jpg https://i.imgur.com/hvX6sIc.jpg https://i.imgur.com/DzMQjxf.jpg https://i.imgur.com/jQmVrvU.jpg https://i.imgur.com/yBz3nt6.jpg https://i.imgur.com/fyHipyB.jpg
Regional Science Center,OD_Khordha_RegionalScienceCenter,Odisha,Khordha,Bhubaneswar,20.2939,85.8325,Education & History,"Unassuming science museum showcasing interactive displays, plus a garden area with ducks","This Centre is one of the 26 science centres/science museums under the network of National Council of Science Museums, an autonomous council under the Ministry of Culture, Govt. of India. The Centre aims at inculcating scientific temper and popularizing science & technology amongst people of all walks of life, students in particular,in the state of Odisha through exhibits, exhibitions, special shows and educational programmes. ","Regional Science Centre, established in the temple city of Bhubaneswar on 8 acres of land, was dedicated to the nation on 18th September, 1989. :At present, there are three galleries. They are Motion Gallery, Mathematics Gallery, Popular Science Gallery. Apart from these, there is a Science Park with a number of interactive outdoor exhibits and a Prehistoric Life Park comprising animated dinosaurs models synchronized with a story-telling light & sound show.",https://i.imgur.com/ymHaj10.jpg ,https://i.imgur.com/TCA7Toc.jpg https://i.imgur.com/ej5D4K3.jpg https://i.imgur.com/UDy3eYP.jpg https://i.imgur.com/qqanFV3.jpg https://i.imgur.com/rOsaA2o.jpg https://i.imgur.com/lGy7NxA.jpg
Regional Museum Of Natural History,OD_Khordha_RegionalMuseumOfNaturalHistory,Odisha,Khordha,Bhubaneswar,20.2996,85.8321,Education & History,"Museum with a botanical garden for the visually impared, a vivarium & hands-on activities for kids","It is the only museum of its kind in the Eastern region of the country.There are various galleries showcase the vibrant biodiversity of Odisha, the North-East, the Andaman and Nicobar Islands, African forests and even Madagascar. The highlight of the museum is undoubtedly the huge skeleton of Baleen Whale which is the biggest in the country. Apart from the skeleton of Baleen Whale there are the skeleton of the Toothed Whale, Elephant and Rhinoceros, skulls of various species of whales, rhinos, elephants, tigers and various other animals which attract the visitors.","Regional Museum of Natural History at Bhubaneswar was set up in 2004. :The rare fossil of the ‘egg’ of now extinct Elephant bird is one of its kind exhibit in the country that one can find in the museum. The skeletons of reptiles and smaller mammals are of particular interest for the students interested in the life sciences. :There is also a children’s gallery equipped with interactive displays, which are popular amongst the children.",https://i.imgur.com/nWl8d8J.jpg,https://i.imgur.com/wRunJbK.jpg https://i.imgur.com/Sa6bGtk.jpg https://i.imgur.com/kz3Tv0a.jpg https://i.imgur.com/fEgJppJ.jpg https://i.imgur.com/HrC5FlT.jpg https://i.imgur.com/mHOWGCW.jpg https://i.imgur.com/eWKlrWB.jpg
Rajarani Temple,OD_Khordha_RajaraniTemple,Odisha,Khordha,Bhubaneswar,20.2435,85.8435,Religious Sites,A large lawn abuts this 11th century stone hindu temple known for its intricate sculptures,"Rajarani temple is a perfect symphony of skillful planning, symmetry of form and exquisite craftsmanship. No wonder it is hailed as a masterpiece of Odisha Temple Architecture. Historians speculate that it was called Indresvara Temple and dedicated to Lord Shiva.Today the temple today is devoid of any presiding deity, there are telltale signs in the architecture of the temple to corroborate that it was a temple dedicated to Lord Shiva, the most notable one being the carving of sage Lakulisa just above the entrance door and below the navagrahas.","Based on the sculptural architectural style, the temple is dated to the mid-11th century. Brown groups the temple along with Anant Vasudev Temple and places it around the 11th–12th centuries. :Another survey of Orissa temples carried out by S. K. Saraswati in 1953 yielded a similar date. Panigrahi, who did a comprehensive analysis of Orissan temples, gives an unspecified date between Lingaraj Temple and Mukteswara Temple. :Fergusson believes construction of the temple was begun by around 1105. George Michell believes the temple was built during the same time as Lingaraja Temple. Rajarani Temple roughly belongs to the same period as the Jagannath Temple at Puri. :The architecture of other temples in central India originated from this temple. The notable ones in the category are the Khajuraho temples and Totesvara Mahadeo temple in Kadawa. Scholars believe based on the style that the temple might have been built by Somavamsi kings who migrated from Central Indis to Orissa during the period. :The temple is known as Rajarani Temple, because of the red and yellow sandstone called Rajarania that was used in its construction. With passage of time, the stone imparts an amber shade which accentuates the architectural beauty of the temple. :The structural plan of the temple resembles the Kandariya Mahadev Temple of Khajuraho which can be attributed to the fact that the Somavamsi’s came to Odisha from Central India. :The temple has another interesting feature which is unique in the temple architecture of Odisha, i.e the tower over the Sanctum Sanctorum rises from the ground like a beehive with smaller miniature towers, one on top of the other merging seamlessly with it, just like a mountain range where the peak is surrounded by smaller mountains. This might well be symbolic of the yearning of the human soul trying to reach higher and higher till it merges with the eternal almighty spirit. :Rajarani temple is great testament to the skillset, infinite patience and perseverance of the architects and their patrons.",https://i.imgur.com/XOBo4a0.jpg,https://i.imgur.com/R0ZEqs1.jpg https://i.imgur.com/9cjf7ZD.jpg https://i.imgur.com/jJIE6CU.jpg https://i.imgur.com/dXgs3ov.jpg https://i.imgur.com/NWiGVY3.jpg
Pathani Samanta Planetarium,OD_Khordha_PathaniSamantaPlanetarium,Odisha,Khordha,Bhubaneswar,20.2981,85.8322,Education & History,Seek the stars and beyod with the astronomical displays being cast onto the roof of this modernistic government run institution,"Pathani Samanta Planetarium is Named after the great Indian astronomer Mahamahopadhyaya Chandrasekhara Singha Harichandana Mahapatra Samanta (Odia: ମହାମହୋପାଧ୍ୟାୟ ଚନ୍ଦ୍ରଶେଖର ସିଂହ ହରିଚନ୍ଦନ ମହାପାତ୍ର ସାମନ୍ତ), whose birth place was in Nayagarh District Odisha who is generally known for his ""Naked eye astronomy"". Here you can enjoy the Audio & Visualshow related to astronomy, Planets & loads more. The show that it displays on outer space is quite alluring.",This Planetarium is Named after the great Indian astronomer Mahamahopadhyaya Chandrasekhara Singha Harichandana Mahapatra Samanta.,https://i.imgur.com/UCcAWkf.jpg,https://i.imgur.com/uO5CVje.jpg https://i.imgur.com/axqlFMm.jpg https://i.imgur.com/MuuDEZ0.jpg https://i.imgur.com/Z2A5FTE.jpg https://i.imgur.com/4ZfFjob.jpg
Parsurameswara Temple,OD_Khordha_ParsurameswaraTemple,Odisha,Khordha,Bhubaneswar,20.2431,85.8391,Religious Sites,A 6th century temple built to house a hundred ling lingram with well preserved sculptures on walls,The temple was built when the Kalingan Architecture was in its infancy. One can see the influence of the Nagara style of architecture (prevalent in North India) in the architectural composition of the temple.  It is believed to be the first temple during the formative years of Kalingan Architecture that has a Jagamohana (Entrance hall). The crude joining of the Jagamohana with the “deula”(sanctum sanctorum) denotes of a craft with newly acquired skill set.,"Parashurameshvara Temple is one of the Parashurameshvara group of temples, considered to be the oldest temples in Bhubaneswar. Some historians believe Parashurameshvara Temple to have been built in the early 8th century CE., subsequent to the construction of the Satruguneswar, Bharateswar and Lakshmaneswar temples in the late 7th century, although K.C.Panigrahi places the date as 650 CE. :Fergusson believed that the temple might have been initiated at around 500 CE. A mid-7th century date is agreed by most scholars based on style and the presence of the eight planets which appear over the door to the inner sanctum as the later temples portray nine. :The temple derives its name from the penance of Parasuram and the grace of Lord Shiva, who is worshiped as Parasurameswar. :The interesting feature of the temple is the presence of the “Saptmatrikas”- who are always represented together. They represent the powers that bestowed on Shakti by various gods. In essence it indicates every woman who is a mother inherits the powers of Shakti. :The Saptamatrikas are Brahmani (from Brahma), Vaishnavi (from Vishnu), Maheshi/Rudrani/Maheswari (from Shiva), Chamunda (from Devi), Kaumari (from warrior god Skanda), Indrani (from Indra) and Barahi (from Baraha). :The carvings of eight grahas (planets without ketu) at the entrance to the deula (The later temples have nava grahas (nine planets)) along with its “triratha” architectural plan and a jagamohana which is crudely joined with the deula indicates its antiquity.",https://i.imgur.com/OuQfYgy.jpg,https://i.imgur.com/GR9k2mi.png https://i.imgur.com/B8OBkVK.jpg https://i.imgur.com/XuaZL5p.jpg
Odisha State Museum,OD_Khordha_OdishaStateMuseum,Odisha,Khordha,Bhubaneswar,20.2563,85.8411,Education & History,"Large museum with many historical artifacts, natural history exhibits, art & a library",Located near BJB nagar Openng time is 10:00 AM to 05:00 PM everyday except Monday.,Initially started by two historians Prof. N.C Banerjee & Prof. Ghanashyam Dash in 1932 and later moved to the current building in 1960 .,https://i.imgur.com/a6q0SZ5.jpg,https://i.imgur.com/qz5nOKb.jpg https://i.imgur.com/JYHu0MC.jpg https://i.imgur.com/hdT8E4G.jpg https://i.imgur.com/Hy8IiPm.jpg https://i.imgur.com/9btGA65.jpg https://i.imgur.com/iDw4LJG.jpg
Ocean World Waterpark,OD_Khordha_OceanWorldWaterpark,Odisha,Khordha,Bhubaneswar,20.2942,85.9435,Garden & Parks,The real amusement water park near the city. The perfect place to enjoy ur summer,"Ocean World Water Park is one among the best and the most popular water parks of the city. Apart from the massive water rides and roller coasters, Ocean World also has an amusement park facilitated with umpteen regular rides and fun activities.A best place to spend time in summer.","Visiting hour is 10:00-5:00 and ovbiously in day time. :Entry Fee is 350/- for adults and 300/- for children(5-12 yrs). Home brought costumes are not allowed to wear while entering to the pool, hence you have to pay 50/- per head for costume. Locker service is also available @ 30/- rupees.",https://i.imgur.com/XaqbASv.jpg ,https://i.imgur.com/0743daN.jpg https://i.imgur.com/VhRA2WI.jpg https://i.imgur.com/Epz6Imt.jpg https://i.imgur.com/PPlqXZq.jpg https://i.imgur.com/WjGEVdR.jpg
Nandankanan Zoo,OD_Khordha_NandankananZoo,Odisha,Khordha,Bhubaneswar,20.3958,85.826,Zoos & Reserves,"Zoo with 1500+ animals, including white tigers & pangolins complemented by botanical garden and scenic lake","The second Largest Zoo in India.Nandankanan, actually meaning The Garden of Heaven, is situated close to the capital city, Bhubaneswar, in the environs of the Chandaka timberland. The zoo is home to around 1660 individual creatures speaking to 166 species, including 67 types of well evolved creatures, 81 types of winged animals, and 18 types of reptiles.","Established in 29 December 1960. it was opened to the public in 1979 and became the first zoo in India to join World Association of Zoos and Aquariums (WAZA) in 2009.A major upgrade was done in 2000 (after the damage caused by the super-cyclone of 1999 in coastal Odisha). :Endangered species, for example, the Asiatic lion, three Indian crocodiles, Sangal lion-followed macaque, Nilgiri langur, Indian pangolin, mouse deer and endless flying creatures, reptiles and fish have been reproducing effectively at Nandankanan. :A exceptional white tiger safari built up here.Boating on oar or rowboats in the blue water of Kanjia lake is an elating encounter. :The multi-story Boat Ghat is remodeled to give new looks giving enough space to the guests to unwind and appreciate the beautiful new water spreading over a zone of in excess of 66 ha. lake. :The Reptile Park's cavern like passageway is monitored by a real existence size Tyrannosaurus rex copy. This houses various types of crocodiles, reptiles, turtles, and snakes.",https://i.imgur.com/K3qgN3u.jpg,https://i.imgur.com/J9riJ7Q.jpg https://i.imgur.com/nrTo7Wh.jpg https://i.imgur.com/y50bA2f.jpg https://i.imgur.com/gdPgzw1.jpg https://i.imgur.com/AOhDGdA.jpg https://i.imgur.com/pziZLiN.jpg https://i.imgur.com/8XjDvYZ.jpg https://i.imgur.com/Ycy7Mlp.jpg
Museum Of Tribal Arts & Artefacts,OD_Khordha_MuseumOfTribalArtsAndArtefacts,Odisha,Khordha,Bhubaneswar,20.283,85.8068,Education & History,"Museum displaying tribal costumes, jewelry, art, household objects, musical instruments & more",The museum is a major site of tourist interest as it gives an insight into the life of a tribal. On display are immaculate replicas of tribal huts of various tribal communities and artefacts collected from different tribal groups in Odisha.The aesthetically built museum is a must visit if you are in Bhubaneswar. For tourist’s one pertinent point – a brief about culture of Odisha is essential though not binding if you are visiting the museum helps you understand the displays just a bit better.,"Conceptually labeled as ""Museum of Man"", it was established in the year 1953. In 1986, 5 tribal huts, representing Santal, Juang, Gadaba, Saora and Kandha communities, were constructed and the tribal artifacts were displayed here for visitors. On 5 March 2001, the new museum building was inaugurated. :On display are the way of life of a tribal in the region which includes their attire, traditions, ornaments, food habits. The museum also displays replicas of Tribal dwellings and artefacts.The museum displays elements of anthropological interest and gives an insight on the different stages of evolution of tribal cultures. :The library here is also a great source of information and documentation of tribal life.",https://i.imgur.com/owOfzwm.jpg ,https://i.imgur.com/Dqau1gE.jpg https://i.imgur.com/Yf4r7Jj.jpg https://i.imgur.com/SQAui5c.jpg https://i.imgur.com/C38RtLN.jpg https://i.imgur.com/34mwYWh.jpg https://i.imgur.com/WcNHsg2.jpg https://i.imgur.com/lndH9jC.jpg https://i.imgur.com/cCTrxsU.jpg
Mukteswara Temple,OD_Khordha_MukteswaraTemple,Odisha,Khordha,Bhubaneswar,20.2427,85.8404,Religious Sites,"The stylistic development the Mukteswar marks the culmination of all earlier developments, and initiates a period of experiment which continues for an entire century","The Mukteswara Temple is often referred to as a miniature gem of Odishan architecture. Its design marks a transition point between the early and later phases of the Kalinga School of Architecture. Due to this, many historians call this temple a harbinger of new culture. The temple is dedicated to Goddess Saraswati, Lord Ganesha and Lord Shiva, whose shrines have been installed here. The latticed windows of the jagmohana (porch) resemble those of the Parsurameswara Temple in the city.","The Mukteshvara Temple is found to be the earliest work from the Somavamshi period. Most scholars believe the temple is the successor to Parashurameshvara Temple and built earlier to the Brahmeswara Temple (1060 CE). :Percy Brown puts the date of construction of the temple to 950 CE. The presence of a torana, which is not part of any other temple in the region, makes this temple unique and some of the representations indicate the builders were starters of a new culture. :K.C. Panigrahi places the temple to be built during 966 CE and postulates that the Somavamshi king Yayati I built the temple. He also associates the legend of Kirtivassa to this temple, but the postulation is not accepted as Kirtivasa is associated with Lingaraja, though both were built at the same time for the same deity, Shiva. There is no historic evidence to conclude that Yayati had built the temple. :A highlight of the temple are the sculptures, such as those around the windows of the jagmohana that depict monkeys engaged in humorous scenes from the ancient Indian stories of Panchatantra. :Since the temple is relatively small in size, 35 ft high at the pinnacle of the tower, it becomes evident that it is an old structure as by that time Odishan builders had'nt attempted to build larger temples.",https://i.imgur.com/k9zQFb4.jpg ,https://i.imgur.com/TXeWsda.jpg https://i.imgur.com/FGthLEE.jpg https://i.imgur.com/oaHwGGb.jpg https://i.imgur.com/77cFvQx.jpg https://i.imgur.com/t1ISzgj.jpg
